level,error_category,events_count,users_count
средний,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска",94,24
средний,Выполнение логического оператора If действия id: <id> группы действий id: <id> Результат: false,31,5
средний,Captcha/anti-bot,30,3
средний,Proxy issue,26,11
средний,Null reference,25,9
средний,Парсинг страницы действия id: <id> группы действий id: <id> Не найдены элементы по заданным параметрам,24,5
средний,Subproject isLinkLoaded. Parsing the page action id: <id> action group id: <id> subproject path: C:\Users\gaabs\Documents\zennoPoster\refact,21,1
средний,Running the Profile action id: <id> action group id: <id> Could not find matching profile. | System.Data.ObjectNotFoundException: Could not ,20,1
средний,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Threading.ThreadAbortE,17,4
средний,Run List action id: <id> action group id: <id> List is empty | System.Exception: List is empty,14,5
средний,"Выполнение действия Touch HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент либо вкладка, по условиям поиска",11,3
средний,运行列表 动作id<id> 动作组id<id> 列表为空 | System.Exception: 列表为空,11,2
средний,Server 500,10,5
средний,Выполнение действия List id: <id> группы действий id: <id> Ошибка при обработке списка,10,4
средний,Выполнение действия CSharp OwnCode: Get Messagge. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Threadin,10,1
средний,Выполнение действия Http id: <id> группы действий id: <id> Ошибка запроса,9,4
средний,Выполнение логического оператора If действия id: <id> группы действий id: <id> Результат,9,2
средний,Выполнение действия Emulation id: <id> группы действий id: <id> Ошибка при обработке,9,2
средний,Timeout,8,3
средний,Выполнение действия CSharp OwnCode: FARM. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Threading.Thread,8,1
средний,Выполнение действия JavaScript OwnCode id: <id> группы действий id: <id> CdpDocument.EvaluateScript failed | System.Exception: CdpDocument.E,7,4
средний,运行HTMLElement 动作id<id> 动作组id<id> 根据搜索条件未找到HTML元素,7,3
средний,Running the WebBrowserSettings action id: <id> action group id: <id> Cookies for loading not found. | System.Exception: Cookies for loading ,7,2
средний,Running HtmlElement action id: <id> action group id: <id> An HTML element matching the search criteria hasn't been found,7,2
средний,"Поиск текста на странице действия id: <id> группы действий id: <id> Не найден, Url: https://www.tiktok.com/@hocnguyen_97/video/<n>?is_from_w",7,1
средний,Argument error,6,4
средний,Rate limit,6,4
средний,Выполнение действия File id: <id> группы действий id: <id> Ошибка при работе с файлом,6,3
средний,Выполнение действия VariableOperations id: <id> группы действий id: <id> Переменная не число | System.FormatException: Входная строка имела ,6,2
средний,Выполнение действия List id: <id> группы действий id: <id> Список пуст | System.Exception: Список пуст,5,4
средний,Выполнение действия Emulation id: <id> группы действий id: <id> Выполнение прервано | System.Exception: Выполнение прервано,5,3
средний,Выполнение действия HtmlElement id: <id> группы действий id: <id> Индекс находился вне границ массива. | System.IndexOutOfRangeException: Ин,5,2
средний,Executing action Swipe HtmlElement id: <id> of action group id: <id> HTML element or tab was not found using search settings,5,1
средний,Выполнение действия TextProcessing id: <id> группы действий id: <id> No such list: | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariable,5,1
средний,Выполнение действия CSharp OwnCode: ПОЛУЧАЕМ НОВУЮ ССЫЛКУ НА ВИДЕО. id: <id> группы действий id: <id> No such list: youtube | ZennoLab.Templ,5,1
средний,Выполнение действия ParsePage id: <id> группы действий id: <id> Ошибка получения данных из html документа | System.Exception: Ошибка получен,4,1
средний,Выполнение действия WebBrowserTab id: <id> группы действий id: <id> Не нашли активную вкладку в инстансе. Инстанс 0: | System.Exception: Не ,3,3
средний,Выполнение действия CSharp OwnCode: FARM. id: <id> группы действий id: <id> System.FormatException: Входная строка имела неверный формат.. |,3,1
средний,Выполнение действия Db id: <id> группы действий id: <id> ERROR [IM014] [Microsoft][ODBC Driver Manager] The specified DSN contains an archit,3,1
средний,Выполнение программы C:\Zenno\Metatags\Metatags.bat действия id: <id> группы действий id: <id> Результат: 1,3,1
