error_category,projects_count,users_count
Подпроект readability. Выполнение действия CSharp OwnCode: check required vars. id: <id> группы действий id: <id> подпроект path: C:\Users\А,1,1
Подпроект readability_example. Выполнение действия CSharp OwnCode: Exc. id: <id> группы действий id: <id> подпроект path: C:\Users\Администр,1,1
Running the WebBrowserSettings action id: <id> action group id: <id> Error accessing Instance.ClearCookie | System.Exception: Error accessin,1,1
Server 500,1,1
Выполнение программы C:\mobirise-automation\mobirise.bat действия id: <id> группы действий id: <id> Результат: <n>,1,1
Выполнение действия TextProcessing id: <id> группы действий id: <id> Ошибка при обработке текста,1,1
Взятие строки из таблицы действия id: <id> группы действий id: <id> Строки с номером не существует в таблице,1,1
Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> Недостаточно памяти. | System.OutOfMemoryException: Недостаточно памят,1,1
Выполнение действия Запустить инстанс ZennoBrowser id: <id> группы действий id: <id> Ошибка запуска профиля ZennoBrowser (<id>): Status(Stat,1,1
Выполнение действия Получить список профилей ZennoBrowser id: <id> группы действий id: <id> Can't connect to ZennoBrowser | System.Exception,1,1
Выполнение программы C:\Zenno\OpenAi-TTS\ffmpeg.exe действия id: <id> группы действий id: <id> Результат: -<n>,1,1
