guid,lite_or_pro,level,left_more_than_1_day,inactive_hours_till_2026_02_24_end,user_projects_count,session,project_file,project_number,project_time,last_edit_time,last_error_time,last_error_category,last_error_message,theme,domains,operations,no_changes_after_error
7dbea4b2-6ff2-4db0-9ebe-0b943d407f45,pro,продвинутый,yes,84.1,2,Session 4. 2026-02-21 11-55,Project 8.zip,8,2026-02-21 11:55:00,,2026-02-21 11:53:47.627083,"Выполнение действия Создать профили ZennoBrowser id: <id> группы действий id: <id> Status(StatusCode=""Unauthenticated"", Detail=""Bad gRPC res","Выполнение действия Создать профили ZennoBrowser id: 9d7d7dae-a165-4f54-be38-38c4b18fe25b группы действий id: 298b46f3-9be2-4991-b074-d217fd6ef70e Status(StatusCode=""Unauthenticated"", Detail=""Bad gRPC response. HTTP status code: 401"") | Grpc.Core.RpcException: Status(StatusCode=""Unauthenticated"", Detail=""Bad gRPC response. HTTP status code: 401"")
   в System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()
   в ZennoLab.ProductsIntegration.PublicApi.Client.PublicApiClientBase.<CallAsync",Лидогенерация/арбитраж,"capcut.com, login.microsoftonline.com, tiktok.com, youtube.com","Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация, Прокси/профили/эмуляция",yes
c149a279-edfc-4416-995d-3295ac2bea3e,lite,новичок,yes,76.6,1,Session 3. 2026-02-21 17-56,Project 10.zip,10,2026-02-21 18:15:13.561946,,2026-02-21 18:15:13.561946,Выполнение действия Emulation id: <id> группы действий id: <id> Входная строка имела неверный формат. | System.FormatException: Входная стро,"Выполнение действия Emulation id: 4bd21489-a41d-41dc-b7e8-f90aaba1b54e группы действий id: f4b69554-94c8-474b-a5b7-86f1a2c5a441 Входная строка имела неверный формат. | System.FormatException: Входная строка имела неверный формат.
   в System.Number.StringToNumber(String str, NumberStyles options, NumberBuffer& number, NumberFormatInfo info, Boolean parseDecimal)
   в System.Number.ParseInt32(String s, NumberStyles style, NumberFormatInfo info)
   в ZennoLab.ZennoPoster.Core.Modules.TemplateEx",E-commerce/маркетплейсы,avito.ru,"Навигация по сайтам, Формы/клики/DOM, Прокси/профили/эмуляция, Прочие действия",yes
ec3962f4-2d79-4d8c-8de6-795f6ac7f286,pro,средний,yes,65.7,2,Session 6. 2026-02-22 06-10,Project 29.zip,29,2026-02-22 06:15:34.934691,,2026-02-22 06:15:34.934691,Выполнение логического оператора If действия id: <id> группы действий id: <id> Результат: false,Выполнение логического оператора If действия id: ded766e0-4807-43ef-9fcf-9528ee892824 группы действий id: d794e28d-f316-4bf9-a438-bc6d77d07f97 Результат: false,Лидогенерация/арбитраж,"mapi.vs.market.yandex.net, mobileproxy.passport.yandex.net, yandex.ru","Формы/клики/DOM, HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация, Логика/ретраи, Прочие действия",yes
065c259f-89b1-4a61-8d9c-a445f329d855,lite,новичок,yes,65.0,1,Session 5. 2026-02-22 07-02,Project 16.zip,16,2026-02-22 07:02:00,,2026-02-22 06:57:53.172499,Выполнение логического оператора If действия id: <id> группы действий id: <id> Результат: false,Выполнение логического оператора If действия id: f425f691-e006-4921-8ddb-aa4966d19c26 группы действий id: f839733f-81ad-4be5-9f43-eaf9614fd539 Результат: false,Служебная автоматизация,clashofcoins.com,"Прочие действия, Навигация по сайтам, Формы/клики/DOM, Прокси/профили/эмуляция, Логика/ретраи",yes
4d6a72a2-ddfd-4a3e-be7a-9244254e98df,pro,средний,yes,63.7,4,Session 1. 2026-02-19 10-56,Project 4.zip,4,2026-02-19 12:24:14.032267,,2026-02-19 12:24:14.032267,Подпроект humanEmulation. Выполнение действия Emulation id: <id> группы действий id: <id> подпроект path: C:\soft\ZennoPoster\Accounts\human,"Подпроект humanEmulation. Выполнение действия Emulation id: 28446ac0-4715-422c-a3d3-a20fe8ffc271 группы действий id: 2144d3a7-ea93-4fa5-9b40-2ce61cfa58ed подпроект path: C:\soft\ZennoPoster\Accounts\humanEmulation.zp Выполнение прервано | System.Exception: Выполнение прервано
   в UserActivityEmulation.ActivityEmulation.ThrowIfInterrupted()
   в UserActivityEmulation.ActivityEmulation.EmulateActivity()
   в ZennoLab.ZennoPoster.Core.Modules.TemplateExecutor.ProjectExecutors.ProjectExecutor.Em",Регистрация/аккаунты,,Прочие действия,yes
eab8e7de-7771-44e6-8c04-c951015f30b7,pro,продвинутый,yes,61.1,8,Session 13. 2026-02-20 12-06,Project 120.zip,120,2026-02-20 12:09:35.032498,2026-02-20 12:07:53.914038,2026-02-20 12:09:35.032498,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска","Выполнение действия HtmlElement id: 2f0a0499-130e-47d9-b435-58781d12deb7 группы действий id: 9fa73d4e-8b02-48a3-9a44-d6c01a7b49f9 Не найден HTML элемент, по условиям поиска",Регистрация/аккаунты,cp.beget.com,"Навигация по сайтам, Формы/клики/DOM, Логика/ретраи",yes
eab8e7de-7771-44e6-8c04-c951015f30b7,pro,продвинутый,yes,61.1,8,Session 1. 2026-02-17 08-55,Project 14.zip,14,2026-02-17 11:33:00.501219,,2026-02-17 11:33:00.501219,Выполнение действия WebBrowserTab id: <id> группы действий id: <id> Ошибка обращения к Instance.ActiveTab | System.Exception: Ошибка обращен,"Выполнение действия WebBrowserTab id: 0d97166d-de82-40af-ae82-3dd93e23f8b5 группы действий id: 123b717c-bec9-40e7-875d-fa9e6f78fe02 Ошибка обращения к Instance.ActiveTab | System.Exception: Ошибка обращения к Instance.ActiveTab
   в ZennoLab.ZennoPoster.Core.Modules.TemplateExecutor.ThrowingCommandCenter.ThrowingInstance.CheckErrorDetected(String param)
   в ZennoLab.ZennoPoster.Core.Modules.TemplateExecutor.ThrowingCommandCenter.ThrowingInstance.get_ActiveTab()
   в ZennoLab.ZennoPoster.Core",Регистрация/аккаунты,"beget.com, cp.beget.com","Навигация по сайтам, Формы/клики/DOM, Логика/ретраи",yes
e2aa46a9-cce3-4dbf-a1c1-05720c1a7ae0,pro,профессионал,yes,58.3,6,Session 1. 2026-02-21 11-11,Project 56.zip,56,2026-02-21 18:08:16.968124,,2026-02-21 18:08:16.968124,Подпроект readability_example. Выполнение действия CSharp OwnCode: Exc. id: <id> группы действий id: <id> подпроект path: C:\Users\Администр,"Подпроект readability_example. Выполнение действия CSharp OwnCode: Exc. id: c1422467-aa44-4c5c-8fa4-0c6e7977662c группы действий id: 8663efc4-1b90-41d8-90bc-4955e989fdfc подпроект path: C:\Users\Администратор\Documents\Zennoposter\Templates\SSD\gptCHAT\_needfix\readability\readability_example.zp [Строка: 1; Cтолбец: 0] Кончились ссылки | System.Exception: Кончились ссылки
   в ZennoLab.OwnCode.Cc1422467aa444c5c8fa40c6e7977662c.Mc1422467aa444c5c8fa40c6e7977662c(IZennoPosterProjectModel project, ",Соцсети,vk.com,"Формы/клики/DOM, Логика/ретраи, Прочие действия",yes
e2aa46a9-cce3-4dbf-a1c1-05720c1a7ae0,pro,профессионал,yes,58.3,6,Session 1. 2026-02-21 11-11,Project 55.zip,55,2026-02-21 18:06:31.411642,,2026-02-21 18:06:31.411642,Подпроект readability. Выполнение действия CSharp OwnCode: check required vars. id: <id> группы действий id: <id> подпроект path: C:\Users\А,"Подпроект readability. Выполнение действия CSharp OwnCode: check required vars. id: a0147638-4722-41a9-b93b-03d1f94b3a73 группы действий id: 0ba2ebd3-f755-4379-ace6-3c4d20793a56 подпроект path: C:\Users\Администратор\Documents\Zennoposter\Templates\SSD\gptCHAT\_needfix\readability\readability.zp [Строка: 9; Cтолбец: 0] Variable empty: IN_url | System.Exception: Variable empty: IN_url
   в ZennoLab.OwnCode.Ca0147638472241a9b93b03d1f94b3a73.Ma0147638472241a9b93b03d1f94b3a73(IZennoPosterProjectMod",Служебная автоматизация,"data.iana.org, docs.microsoft.com, github.com, unicode.org, vk.com","Прочие действия, HTTP/API запросы, Прокси/профили/эмуляция, Логика/ретраи",yes
3989718c-8ff5-4270-93b7-058fc51b7615,pro,продвинутый,yes,42.9,2,Session 1. 2026-02-19 07-28,Project 4.zip,4,2026-02-20 06:06:26.281456,,2026-02-20 06:06:26.281456,"Поиск текста на странице действия id: <id> группы действий id: <id> Не найден, Url: https://b.dom-edinstva.ru/crm/lead/details/<n>/, Regex: ","Поиск текста на странице действия id: fbc71af6-d153-402e-856f-7fb397fa98ab группы действий id: 57377820-87ec-46e1-96b4-a07a00cce703 Не найден, Url: https://b.dom-edinstva.ru/crm/lead/details/54143/, Regex: изменено\s+19\.02\.2026",Служебная автоматизация,b.dom-edinstva.ru,"Прочие действия, Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация, Прокси/профили/эмуляция, Логика/ретраи",yes
a57674ad-291b-49ce-b830-549e622d4496,lite,средний,yes,36.5,1,Session 3. 2026-02-23 11-29,Project 3.zip,3,2026-02-23 11:29:00,,2026-02-23 11:24:30.850764,Extension installer not found,"执行 WebBrowserExtensions 动作 id: c14ea222-614c-4acf-94e8-46a523c67425  动作组id：9b3d0512-12fb-415e-9cc6-ddf9bb24c553 Extension installer not found! path: C:\Users\Administrator\Desktop\谷歌API\jio.crx | System.IO.FileNotFoundException: Extension installer not found! path: C:\Users\Administrator\Desktop\谷歌API\jio.crx
   at ZennoLab.ZennoPoster.Core.Modules.TemplateExecutor.ProjectExecutors.ProjectExecutor.WebBrowserExtensionsInstall(Object info, ProjectMakerProcessing proc, String[] parameters)
   at ",Регистрация/аккаунты,"api.id.me, api.va.gov, cloudflare-dns.com, dns.google, ip-api.com, va.gov","Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация, Прокси/профили/эмуляция",yes
fba35c0f-a685-4fbf-8366-f577ebea53eb,pro,продвинутый,yes,31.6,6,Session 48. 2026-02-22 23-34,Project 174.zip,174,2026-02-23 12:15:36.830476,,2026-02-23 12:15:36.830476,Выполнение действия Запустить инстанс ZennoBrowser id: <id> группы действий id: <id> Ошибка запуска профиля ZennoBrowser (<id>): Status(Stat,"Выполнение действия Запустить инстанс ZennoBrowser id: 53e33067-d2eb-49ae-a0f9-625a4b937ba1 группы действий id: 64383c3d-f4d5-4035-98db-a711f4aec72f Ошибка запуска профиля ZennoBrowser (452093D7-C14F-45D5-9313-12B83CD48A95): Status(StatusCode=""Unknown"", Detail=""Exception was thrown by handler. Exception: Invalid thread token provided."") | ZennoLab.ZennoPoster.Core.Tasks.Threads.StartBaseFatalException: Ошибка запуска профиля ZennoBrowser (452093D7-C14F-45D5-9313-12B83CD48A95): Status(StatusCode=",Регистрация/аккаунты,labs.google,"Навигация по сайтам, Формы/клики/DOM, Логика/ретраи, Прочие действия",yes
fba35c0f-a685-4fbf-8366-f577ebea53eb,pro,продвинутый,yes,31.6,6,Session 48. 2026-02-22 23-34,Project 173.zip,173,2026-02-23 01:34:00.428022,2026-02-23 01:28:18.439555,2026-02-23 01:28:55.161281,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска","Выполнение действия HtmlElement id: b2bf75e5-8cee-453b-965f-9447920d939b группы действий id: 9f3c960e-9163-42a5-a120-3dc6862af512 Не найден HTML элемент, по условиям поиска",Соцсети,"facebook.com, grok.com","Навигация по сайтам, Формы/клики/DOM, Парсинг/валидация, Прокси/профили/эмуляция, Логика/ретраи, Прочие действия",yes
843c3700-d3dd-4a5a-8e3a-0d0c3bb32987,lite,новичок,yes,26.2,2,Session 1. 2026-02-23 21-49,Project 2.zip,2,2026-02-23 21:50:15.845245,,2026-02-23 21:50:15.845245,Argument error,"Perform the LaunchProgram action id: 21f47ba6-c7cb-465b-9758-dc7c80f6c6b0 action group id: ecf9b38c-7f31-4098-b13c-fcfa9ae85bb9 The path is not of a legal form. | System.ArgumentException: The path is not of a legal form.
   at System.IO.Path.NewNormalizePath(String path, Int32 maxPathLength, Boolean expandShortPaths)
   at System.IO.Path.NormalizePath(String path, Boolean fullCheck, Int32 maxPathLength, Boolean expandShortPaths)
   at System.IO.Path.GetFullPathInternal(String path)
   at Sy",Регистрация/аккаунты,,Прочие действия,yes
