level,last_error_category,users_count
средний,Выполнение действия CSharp OwnCode: Генерация нового профиля. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | Sys,1
средний,Выполнение действия Emulation id: <id> группы действий id: <id> Входная строка имела неверный формат. | System.FormatException: Входная стро,1
средний,Unauthorized,1
средний,运行WebBrowserSettings 动作id<id> 动作组id<id> 访问实例错误.ClearCookie | System.Exception: 访问实例错误.ClearCookie,1
средний,"Выполнение действия Touch HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент либо вкладка, по условиям поиска",1
средний,Выполнение действия Directory id: <id> группы действий id: <id> Ошибка при работе с директорией,1
средний,Выполнение действия Получить список профилей ZennoBrowser id: <id> группы действий id: <id> Can't connect to ZennoBrowser | System.Exception,1
средний,Выполнение действия TextProcessing id: <id> группы действий id: <id> Ошибка при обработке текста,1
средний,Подпроект tittok_2. Выполнение действия ProjectInProject id: <id> группы действий id: <id> подпроект path: C:\unnell\zp\tittok_2.zp Ошибка п,1
средний,Выполнение действия CSharp OwnCode: Always Use HTTPS. id: <id> группы действий id: <id> Удаленный сервер возвратил ошибку: (<n>) Не найден. ,1
средний,Выполнение действия CSharp OwnCode: НЕ можем нажать отправить. id: <id> группы действий id: <id> [Строка: 3; Cтолбец: 0] ERROR - НЕ можем на,1
средний,Выполнение действия CSharp OwnCode: Ожидание СМС. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Threadin,1
средний,Подпроект module-discord-actions. Выполнение логического оператора If действия id: <id> группы действий id: <id> подпроект path: D:\socials\,1
средний,Rate limit,1
продвинутый,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска",21
продвинутый,Выполнение действия List id: <id> группы действий id: <id> Список пуст | System.Exception: Список пуст,6
продвинутый,Взятие строки из таблицы действия id: <id> группы действий id: <id> Строки с номером не существует в таблице,4
продвинутый,Null reference,4
продвинутый,运行HTMLElement 动作id<id> 动作组id<id> 根据搜索条件未找到HTML元素,3
продвинутый,Argument error,3
продвинутый,Выполнение действия Http id: <id> группы действий id: <id> Превышен таймаут ResourceDownloader.GetResult. | System.Exception: Превышен тайма,2
продвинутый,Taking line from the table action id: <id> action group id: <id> Line No. does not exist in the table,2
продвинутый,Running HtmlElement action id: <id> action group id: <id> An HTML element matching the search criteria hasn't been found,2
продвинутый,Running the logical IF-statement action id: <id> action group id: <id> Result: false,2
продвинутый,Парсинг страницы действия id: <id> группы действий id: <id> Не найдены элементы по заданным параметрам,2
продвинутый,Executing the Get ZennoBrowser profiles action id: <id> action group id: <id> ZennoBrowser not installed | System.Exception: ZennoBrowser no,1
продвинутый,Running the Profile action id: <id> action group id: <id> Could not find matching profile. | System.Data.ObjectNotFoundException: Could not ,1
продвинутый,Выполнение действия FTPDirectory id: <id> группы действий id: <id> Ошибка при работе с FTP,1
продвинутый,运行WebBrowserSettings 动作id<id> 动作组id<id> 访问实例错误.ClearCookie | System.Exception: 访问实例错误.ClearCookie,1
продвинутый,执行动作C#自定义代码: FilterState2.id: <id> 动作组 id: <id> [行: 6; 列: 0] invalid state | System.Exception: invalid state,1
продвинутый,Perform the JavaScript OwnCode action id: <id> action group id: <id> Error accessing Document.EvaluateScript | System.Exception: Error acces,1
продвинутый,"Выполнение действия Touch HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент либо вкладка, по условиям поиска",1
продвинутый,"Выполнение действия Создать профили ZennoBrowser id: <id> группы действий id: <id> Status(StatusCode=""Unauthenticated"", Detail=""Bad gRPC res",1
продвинутый,运行IF-statmen逻辑 动作id<id> 动作组id<id> 结果：false,1
продвинутый,Выполнение действия Запустить инстанс ZennoBrowser id: <id> группы действий id: <id> Ошибка запуска профиля ZennoBrowser (<id>): Status(Stat,1
продвинутый,"Поиск текста на странице действия id: <id> группы действий id: <id> Не найден, Url: https://b.dom-edinstva.ru/crm/lead/details/<n>/, Regex: ",1
продвинутый,"Выполнение действия Profile id: <id> группы действий id: <id> Файла не существует по пути ""C:\Users\Administrator\Desktop\zenno\orders\eugen",1
продвинутый,Выполнение логического оператора If действия id: <id> группы действий id: <id> Результат: false,1
продвинутый,Выполнение действия List id: <id> группы действий id: <id> Искомый элемент отсутствует в списке | System.Exception: Искомый элемент отсутств,1
продвинутый,Выполнение действия Db id: <id> группы действий id: <id> You have an error in your SQL syntax; check the manual that corresponds to your MyS,1
продвинутый,执行动作C#自定义代码: 检查元素.id: <id> 动作组 id: <id> Server Error (ElementIsExists): element not exists | System.Exception: Server Error (ElementIsExists,1
продвинутый,Captcha/anti-bot,1
продвинутый,"Выполнение действия Parse Json/Xml id: <id> группы действий id: <id> Unexpected character encountered while parsing value: <. Path '', line ",1
продвинутый,"执行解析Json/Xml动作 id: <id> 动作分组ID: <id> Unexpected character encountered while parsing value: ﻿. Path '', line 0, position 0. | System.Exceptio",1
продвинутый,Выполнение действия Sms Service id: <id> группы действий id: <id> Некорректное наименование сервиса | System.Exception: Некорректное наимено,1
продвинутый,Executing action CSharp OwnCode: SUGGESTED⇒TEMP（一括コピー）修正版.id: <id> action group id: <id> Thread was being aborted,1
продвинутый,Взятие строки из таблицы действия id: <id> группы действий id: <id> Ошибка при обработке таблицы,1
продвинутый,执行该动作的JavaScript OwnCode 动作id:<id> 动作组id:<id> CdpDocument.EvaluateScript failed | System.Exception: CdpDocument.EvaluateScript failed,1
продвинутый,Выполнение действия Table id: <id> группы действий id: <id> Индекс находился вне границ массива. | System.IndexOutOfRangeException: Индекс н,1
продвинутый,Выполнение действия Запустить инстанс ZennoBrowser id: <id> группы действий id: <id> Все профили указанной папки заняты | ZennoLab.ZennoPost,1
продвинутый,Subproject modulo_test_change_domain. Executing the Db action id: <id> of action group id: <id> subproject path: G:\My Drive\RPA-PROJECT\RPA,1
продвинутый,Подпроект class-email-rambler-login-with-fa. Выполнение действия ProjectInProject id: <id> группы действий id: <id> подпроект path: C:\Users,1
продвинутый,Rate limit,1
продвинутый,"Executing the Create ZennoBrowser profiles action id: <id> action group id: <id> {""ExceptionJson"":[""{\u0022$type\u0022:\u0022ZennoLab.Platfo",1
продвинутый,Выполнение действия Остановить инстанс id: <id> группы действий id: <id> Ошибка обращения к Instance.PrepareInstance | System.Exception: Оши,1
продвинутый,File not found,1
продвинутый,Run List action id: <id> action group id: <id> List is empty | System.Exception: List is empty,1
продвинутый,Выполнение действия Http id: <id> группы действий id: <id> Ошибка запроса,1
продвинутый,"Поиск текста на странице действия id: <id> группы действий id: <id> Не найден, Url: https://2ip.ru/, Regex: Вая\s+IP",1
продвинутый,Выполнение действия WebBrowserSettings id: <id> группы действий id: <id> Ошибка обращения к Instance.ClearCookie | System.Exception: Ошибка ,1
продвинутый,Выполнение действия Directory id: <id> группы действий id: <id> Ошибка при работе с директорией,1
продвинутый,"Выполнение действия Profile id: <id> группы действий id: <id> Файла не существует по пути ""E:\#Work\Zenka\чекер кс под инфинита\.zpprofile""",1
продвинутый,Выполнение действия WebBrowserExtensions id: <id> группы действий id: <id> Incorrect extension parsing type! | System.InvalidOperationExcept,1
продвинутый,Выполнение действия ProjectInProject id: <id> группы действий id: <id> Ошибка при обработке,1
профессионал,"Выполнение действия HtmlElement id: <id> группы действий id: <id> Не найден HTML элемент, по условиям поиска",2
профессионал,运行HTMLElement 动作id<id> 动作组id<id> 根据搜索条件未找到HTML元素,1
профессионал,Running the WebBrowserSettings action id: <id> action group id: <id> Object reference not set to an instance of an object,1
профессионал,Парсинг страницы действия id: <id> группы действий id: <id> Не найдены элементы по заданным параметрам,1
профессионал,Подпроект readability_example. Выполнение действия CSharp OwnCode: Exc. id: <id> группы действий id: <id> подпроект path: C:\Users\Администр,1
профессионал,Proxy issue,1
профессионал,Server unavailable,1
профессионал,Run List action id: <id> action group id: <id> List is empty | System.Exception: List is empty,1
профессионал,Подпроект smrch-checker_wa_dot2.01-noxtools.com_include. Поиск текста на странице действия id: <id> группы действий id: <id> подпроект path:,1
профессионал,Running the Profile action id: <id> action group id: <id> Could not find matching profile. | System.Data.ObjectNotFoundException: Could not ,1
профессионал,Null reference,1
