lite_or_pro,last_error_category,users_count
pro,Выполнение логического оператора Switch действия id: <id> группы действий id: <id> Результат: Нет подходящего значения,1
pro,File not found,1
pro,Выполнение действия CSharp OwnCode: считаю разницу в рублях. id: <id> группы действий id: <id> Входная строка имела неверный формат. | Syste,1
pro,Executing action WebBrowserExtensions id: <id> of action group id: <id> Error accessing Instance.InstallCrxExtension | System.Exception: Err,1
pro,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> [Строка: 22; Cтолбец: 0] <n>.. Нет xpath элемента: //h1[contains(@clas,1
pro,Подпроект Сериалы - создание заданий на анимирование. Выполнение действия List id: <id> группы действий id: <id> подпроект path: C:\OpenClou,1
pro,运行列表 动作id<id> 动作组id<id> 列表为空 | System.Exception: 列表为空,1
pro,Выполнение действия ImageProcessing id: <id> группы действий id: <id> Ошибка при получении изображения,1
pro,Подпроект drom_parse_osn_file. Выполнение действия File id: <id> группы действий id: <id> подпроект path: C:\Users\ceo\Documents\drom_parse_,1
pro,Rate limit,1
pro,"Выполнение действия Db id: <id> группы действий id: <id> ERROR [<n>] ОШИБКА: новая строка в отношении ""cell_coverages"" нарушает ограничение-",1
pro,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> [Строка: 8; Cтолбец: 0] Ответ сервера не содержит HTTP/1.1 <n> OK | Sy,1
pro,Выполнение действия WebBrowserExtensions id: <id> группы действий id: <id> Can't uninstall extension pabjfbciaedomjjfelfafejkppknjleh | Syst,1
pro,Выполнение действия CSharp OwnCode: FARM. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Threading.Thread,1
pro,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> Поток находился в процессе прерывания,1
pro,"Выполнение действия Parse Json/Xml id: <id> группы действий id: <id> Error reading JToken from JsonReader. Path '', line 0, position 0. | Sy",1
pro,Выполнение действия CSharp OwnCode: ок. id: <id> группы действий id: <id> [Строка: 32; Cтолбец: 0] Кнопка OK не появилась за 3 секунды | Sys,1
pro,Выполнение действия Запустить инстанс ZennoBrowser id: <id> группы действий id: <id> Идентификатор профиля ZennoBrowser пустой | ZennoLab.Ze,1
pro,Выполнение программы C:\Zenno\OpenAi-TTS\ffmpeg.exe действия id: <id> группы действий id: <id> Результат: -<n>,1
pro,"Выполнение действия Profile id: <id> группы действий id: <id> Файла не существует по пути ""C:\Users\Administrator\Desktop\зенка Парсер\1""",1
pro,"Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> [Строка: 23; Cтолбец: 0] Не удалось загрузить файл или сборку ""Renci.S",1
pro,"Выполнение действия Получить список профилей ZennoBrowser id: <id> группы действий id: <id> Status(StatusCode=""Unauthenticated"", Detail=""Bad",1
pro,执行动作C#自定义代码: FilterState2.id: <id> 动作组 id: <id> [行: 6; 列: 0] invalid state | System.Exception: invalid state,1
pro,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> Недостаточно памяти. | System.OutOfMemoryException: Недостаточно памят,1
pro,Subproject FreedomBlueprint. Running HtmlElement action id: <id> action group id: <id> subproject path: C:\Users\gaabs\Documents\zennoPoster,1
pro,Выполнение действия CSharp OwnCode: ждем пока файл CSV освободится. id: <id> группы действий id: <id> Поток находился в процессе прерывания.,1
pro,Выполнение программы C:\mobirise-automation\mobirise.bat действия id: <id> группы действий id: <id> Результат: <n>,1
pro,Выполнение действия Emulation id: <id> группы действий id: <id> Ошибка обращения к Instance.SendText | System.Exception: Ошибка обращения к ,1
pro,Executing the Start ZennoBrowser instance action id: <id> action group id: <id> Error launching ZennoBrowser profile (<id>): Can't connect t,1
pro,Выполнение действия Db id: <id> группы действий id: <id> Table 'clientasay_vk.my_table' doesn't exist | MySql.Data.MySqlClient.MySqlExceptio,1
pro,Подпроект 2_1_YT_load_ZP. Выполнение действия Directory id: <id> группы действий id: <id> подпроект path: D:\ZENNO\1_Youtube_Zennoposter\2_1,1
pro,"Выполнение действия Создать профили ZennoBrowser id: <id> группы действий id: <id> Status(StatusCode=""Unauthenticated"", Detail=""Bad gRPC res",1
pro,Выполнение действия Plugin id: <id> группы действий id: <id> Ошибка при обработке плагина ApprooveMM Ошибка в действии: <id>,1
pro,Подпроект Капча классик. Выполнение действия HtmlElement id: <id> группы действий id: <id> подпроект path: C:\Dropbox\Xterium\Капча классик.,1
pro,Выполнение действия CSharp OwnCode: arbbridge. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Threading.T,1
pro,Выполнение действия CSharp OwnCode: Разделение текстовых данных на переменные с использованием разделителя и нормализацией символов новой ст,1
pro,Выполнение действия ParsePage id: <id> группы действий id: <id> Invalid format of the collection numbers. ElementsInCollection: 16. Path: -1,1
pro,"Searching text on a page action id: <id>of action group id: <id> 未发现, Url: https://ipinfo.io/json, Regex: What's your car's make?",1
pro,Not found,1
pro,Выполнение действия Запустить инстанс ZennoBrowser id: <id> группы действий id: <id> Ошибка запуска профиля ZennoBrowser (<id>): Status(Stat,1
pro,"Поиск текста на странице действия id: <id> группы действий id: <id> Не найден, Url: https://b.dom-edinstva.ru/crm/lead/details/<n>/, Regex: ",1
pro,"Выполнение действия Profile id: <id> группы действий id: <id> Файла не существует по пути ""C:\Users\Administrator\Desktop\zenno\orders\eugen",1
pro,Access denied,1
pro,Выполнение действия WebBrowserSettings id: <id> группы действий id: <id> Ошибка обращения к Instance.ClearCookie | System.Exception: Ошибка ,1
pro,Подпроект 48 Менеджер ЯК Для общего шаблона. Выполнение действия HtmlElement id: <id> группы действий id: <id> подпроект path: D:\ZP\02 На з,1
pro,"Поиск текста на странице действия id: <id> группы действий id: <id> Не найден, Url: http://wlb-promo.local/5x-product-check, Regex: Все\s+то",1
pro,Executing action CSharp OwnCode.id: <id> action group id: <id> Value cannot be null,1
pro,Выполнение действия VariableOperations id: <id> группы действий id: <id> Значение для увеличения не может быть приведено к числовому | Syste,1
pro,Выполнение действия Emulation id: <id> группы действий id: <id> Ошибка при обработке,1
pro,Выполнение действия Db id: <id> группы действий id: <id> You have an error in your SQL syntax; check the manual that corresponds to your MyS,1
pro,Выполнение действия WebBrowserTab id: <id> группы действий id: <id> Не нашли активную вкладку в инстансе. Инстанс 0: | System.Exception: Не ,1
pro,Выполнение действия Http id: <id> группы действий id: <id> Ошибка запроса,1
pro,Выполнение действия CSharp OwnCode: Поиск на dzen.ru. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Thre,1
pro,Выполнение действия CSharp OwnCode: Parser-get. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Threading.,1
pro,执行动作 Db id: <id> 在动作组中: <id> Unknown column 'info' in 'field list' | MySql.Data.MySqlClient.MySqlException (0x80004005): Unknown column 'inf,1
pro,Выполнение действия LaunchProgram id: <id> группы действий id: <id> Указанный исполняемый файл не является действительным приложением для эт,1
pro,Выполнение действия ProjectInProject id: <id> группы действий id: <id> Ошибка при обработке,1
pro,执行动作C#自定义代码.id: <id> 动作组 id: <id> Thread was being aborted. | System.Threading.ThreadAbortException: Thread was being aborted,1
pro,Подпроект readability_example. Выполнение действия CSharp OwnCode: Exc. id: <id> группы действий id: <id> подпроект path: C:\Users\Администр,1
pro,"Executing action Parse Json/Xml id: <id> action group id: <id> Error reading JToken from JsonReader. Path '', line 0, position 0. | System.E",1
pro,Выполнение действия WebBrowserSettings id: <id> группы действий id: <id> Не найдены cookies для загрузки. | System.Exception: Не найдены coo,1
pro,Running the logical IF-statement action id: <id> action group id: <id> Result: false,1
pro,Выполнение действия Создать профили ZennoBrowser id: <id> группы действий id: <id> ZennoBrowser не установлен | System.Exception: ZennoBrows,1
pro,"执行解析Json/Xml动作 id: <id> 动作分组ID: <id> Unexpected character encountered while parsing value: ﻿. Path '', line 0, position 0. | System.Exceptio",1
