lite_or_pro,error_category,events_count,users_count
lite,Выполнение действия Запустить инстанс ZennoBrowser id: <id> группы действий id: <id> Ошибка запуска профиля ZennoBrowser (<id>): Can't conne,2,2
lite,Выполнение действия Profile id: <id> группы действий id: <id> Не удалось найти подходящий профиль. | System.Data.ObjectNotFoundException: Не,2,2
lite,Выполнение действия Swipe HtmlElement id: <id> группы действий id: <id> Please use CEF (Chrome) or Chromium engine for Touch component! | Sy,2,2
lite,Running the VariableOperations action id: <id> action group id: <id> Value for increasing the counter could not be converted to a number | S,2,1
lite,"Выполнение действия ToTable Json/Xml id: <id> группы действий id: <id> No such name: {""result""",2,1
lite,Выполнение логического оператора If действия id: <id> группы действий id: <id> Результат: undefined,2,1
lite,Parsing the page action id: <id> action group id: <id> No elements matching the specified parameters,2,1
lite,"Поиск текста на странице действия id: <id> группы действий id: <id> Не найден, Url: https://x.com/RoundtableSpace/status/<n>?s=20, Regex: \{",2,1
lite,Выполнение действия Table id: <id> группы действий id: <id> No such list: | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariableException,2,1
lite,Выполнение действия Получить список профилей ZennoBrowser id: <id> группы действий id: <id> Can't connect to ZennoBrowser | System.Exception,2,1
lite,Выполнение действия Table id: <id> группы действий id: <id> No such spreadsheet: | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariableEx,2,1
lite,Выполнение программы C:\Program Files (x86)\ePochta\ePochta Mailer\ePochtaMailer.exe действия id: <id> группы действий id: <id> Результат: -,2,1
lite,Выполнение действия Emulation id: <id> группы действий id: <id> Ошибка обращения к Instance.SendText | System.Exception: Ошибка обращения к ,2,1
lite,Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Threading.ThreadAbortE,2,1
lite,Выполнение действия ParsePage id: <id> группы действий id: <id> Unexpected token {Char} where {Ident} was expected. | System.FormatException,2,1
lite,Выполнение действия HtmlElement id: <id> группы действий id: <id> No such variable: Tag | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVar,2,1
lite,Выполнение действия Создать профили ZennoBrowser id: <id> группы действий id: <id> Списка с указанным именем не существует,2,1
lite,Выполнение действия WebBrowserTabManagement id: <id> группы действий id: <id> Не нашли вкладку TW в инстансе. Инстанс <n>:<n>.0.0.1 | System,2,1
lite,Выполнение действия VariableOperations id: <id> группы действий id: <id> Ошибка при работе с переменными,2,1
lite,Running the WebBrowserTab action id: <id> action group id: <id> Error accessing Instance.ActiveTab | System.Exception: Error accessing Insta,1,1
lite,Running the WebBrowserSettings action id: <id> action group id: <id> Input string was not in a correct format. | System.FormatException: Inp,1,1
lite,Running the WebBrowserSettings action id: <id> action group id: <id> Value was either too large or too small for an Int32. | System.Overflow,1,1
lite,Executing action CSharp OwnCode.id: <id> action group id: <id> No such table: Table1 | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariab,1,1
lite,Perform the Touch action id: <id> action group id: <id> HTML element or tab was not found using search settings,1,1
