error_category,events_count,users_count,example_message
Timeout,46,18,"Выполнение действия Запустить инстанс ZennoBrowser id: c05caa3c-dd3f-4a32-ad5c-74fa3da199c6 группы действий id: 9f931dba-3833-4f68-b180-e02d656a1fd8 Error starting browser, time elapsed, timeout = 60 sec | System.Excepti | Выполнение действия CSharp OwnCode: Get Code. id: 3f5232a7-8c7b-451a-8fc1-34b5e544a29a группы действий id: 5c14a4e3-ce69-4cc2-816a-3928b556f4ea [Строка: 100; Cтолбец: 4] TimeOut ожидания СМС. | System.Exception: TimeOut "
Server 500,45,19,Выполнение действия CSharp OwnCode: Выбрать страну. id: 1d42c845-8535-4e1e-a25b-179b0b46789f группы действий id: 7e8f05ad-3094-4bd5-bd8f-5c05675002d3 [Строка: 34; Cтолбец: 0] Страна с кодом 31 не найдена в списке. | Syst | Выполнение действия CSharp OwnCode: Выбрать страну. id: 1d42c845-8535-4e1e-a25b-179b0b46789f группы действий id: 7e8f05ad-3094-4bd5-bd8f-5c05675002d3 [Строка: 34; Cтолбец: 0] Страна с кодом 31 не найдена в списке. | Syst
Выполнение действия VariableOperations id: <id> группы действий id: <id> Переменная не число | System.FormatException: Входная строка имела ,39,9,Выполнение действия VariableOperations id: 7c3a82c5-dbe4-4f90-925b-36219ba1463a группы действий id: 3950dea2-7aad-49a0-8e47-6728c5013480 Переменная не число | System.FormatException: Входная строка имела неверный формат. | Выполнение действия VariableOperations id: 998a0040-cc50-46c5-9ea1-6a4db6a0de41 группы действий id: ac8cb00d-0da1-4716-8d56-4482b724e64a Переменная не число | System.FormatException: Входная строка имела неверный формат.
Выполнение действия Emulation id: <id> группы действий id: <id> Выполнение прервано | System.Exception: Выполнение прервано,36,12,"Выполнение действия Emulation id: 2206bc8f-99e3-4239-8ead-c1d2670b6054 группы действий id: af88fb58-d8c7-4805-8881-66b5e712daec Выполнение прервано | System.Exception: Выполнение прервано
   в UserActivityEmulation.Acti | Выполнение действия Emulation id: 2206bc8f-99e3-4239-8ead-c1d2670b6054 группы действий id: af88fb58-d8c7-4805-8881-66b5e712daec Выполнение прервано | System.Exception: Выполнение прервано
   в UserActivityEmulation.Acti"
Взятие строки из таблицы действия id: <id> группы действий id: <id> Строки с номером не существует в таблице,31,11,Взятие строки из таблицы действия id: 066c760f-5195-4607-b675-d0333e3e143b группы действий id: e3da702f-6deb-4a46-90e8-2832ac7a66ec Строки с номером  не существует в таблице | Взятие строки из таблицы действия id: 066c760f-5195-4607-b675-d0333e3e143b группы действий id: e3da702f-6deb-4a46-90e8-2832ac7a66ec Строки с номером  не существует в таблице
Выполнение логического оператора Switch действия id: <id> группы действий id: <id> Результат: Нет подходящего значения,31,6,Выполнение логического оператора Switch действия id: 60c5f9cb-4c40-4d7b-b7e4-e6a5d128b251 группы действий id: 6ca1bc03-4b55-4846-aa76-00de8e48be96 Результат: Нет подходящего значения | Выполнение логического оператора Switch действия id: 41d798e3-4842-4dcd-ab4e-94afc57233d0 группы действий id: 60142f12-9e9b-4d18-bacc-0297185aeef5 Результат: Нет подходящего значения
Выполнение действия File id: <id> группы действий id: <id> Ошибка при работе с файлом,29,10,Выполнение действия File id: 41ca73c7-2936-47f4-813b-c0b4b1374f1d группы действий id: 97f8545c-eb49-4f13-b188-3d51e1d5bbfa Ошибка при работе с файлом | Выполнение действия File id: 41ca73c7-2936-47f4-813b-c0b4b1374f1d группы действий id: 97f8545c-eb49-4f13-b188-3d51e1d5bbfa Ошибка при работе с файлом
Выполнение действия Http id: <id> группы действий id: <id> Ошибка запроса,29,10,Выполнение действия Http id: 5b29d431-a751-4a6a-b2f8-abe15bc64165 группы действий id: 9e6ed750-53a0-4054-a3a8-44d0b3decab5 Ошибка запроса | Выполнение действия Http id: 5b29d431-a751-4a6a-b2f8-abe15bc64165 группы действий id: 9e6ed750-53a0-4054-a3a8-44d0b3decab5 Ошибка запроса
Выполнение действия ProjectInProject id: <id> группы действий id: <id> Ошибка при обработке,28,7,Выполнение действия ProjectInProject id: 8bf2546f-e720-4640-9798-f4b7a40157a0 группы действий id: dc35d35e-d1bc-42d9-a439-58a5888fae43 Ошибка при обработке | Выполнение действия ProjectInProject id: 0138e08f-f42d-416b-adb9-c6e77349f7e4 группы действий id: c3ec271d-f919-4cba-92a2-a70b9e9da095 Ошибка при обработке
Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Threading.ThreadAbortE,26,10,Выполнение действия CSharp OwnCode. id: 33303f8b-5ba3-4c33-a9be-ffba460a745a группы действий id: 5de27287-c787-40c7-8362-084bcfc6ae44 Поток находился в процессе прерывания. | System.Threading.ThreadAbortException: Поток  | Выполнение действия CSharp OwnCode. id: 6549fe48-39b9-4cf7-a499-c3dc4c791689 группы действий id: 7ead47a5-6ac4-488b-ae76-f3d4e8430a2d Поток находился в процессе прерывания. | System.Threading.ThreadAbortException: Поток 
Выполнение действия Emulation id: <id> группы действий id: <id> Ошибка при обработке,26,8,Выполнение действия Emulation id: 57eb1258-9581-40a8-9cda-45054a14971a группы действий id: 28b66540-4e29-460c-ba2f-39f226111b77 Ошибка при обработке | Выполнение действия Emulation id: 3614d2d7-57e8-4cc6-9abe-32f4beeb0620 группы действий id: 98bf0b22-0450-46e1-8f14-6feb65cfe7d3 Ошибка при обработке
Running the Profile action id: <id> action group id: <id> Could not find matching profile. | System.Data.ObjectNotFoundException: Could not ,23,2,Running the Profile action id: 37e3e702-81b4-46e1-a787-222ad919d5f8 action group id: 71f329b3-b35b-4709-849d-93feef960230 Could not find matching profile. | System.Data.ObjectNotFoundException: Could not find matching pr | Running the Profile action id: 37e3e702-81b4-46e1-a787-222ad919d5f8 action group id: 71f329b3-b35b-4709-849d-93feef960230 Could not find matching profile. | System.Data.ObjectNotFoundException: Could not find matching pr
Выполнение действия Запустить инстанс ZennoBrowser id: <id> группы действий id: <id> Ошибка запуска профиля ZennoBrowser (<id>): Status(Stat,22,4,Выполнение действия Запустить инстанс ZennoBrowser id: c05caa3c-dd3f-4a32-ad5c-74fa3da199c6 группы действий id: 9f931dba-3833-4f68-b180-e02d656a1fd8 Ошибка запуска профиля ZennoBrowser (D5622446-68AA-4519-943E-D84C5E7903 | Выполнение действия Запустить инстанс ZennoBrowser id: cd66c6a0-e162-4695-9298-7e34483db472 группы действий id: bb15881f-2229-4b45-8109-baf367212c66 Ошибка запуска профиля ZennoBrowser (F21959AC-9354-4100-9947-B8875F59BB
Server unavailable,21,11,"Выполнение действия HtmlElement id: a9f09c92-7958-4d50-a8ec-ea79c70a689a группы действий id: 85e5c700-6319-49de-b834-a219503ef1b7 Не найден HTML элемент, по условиям поиска | Выполнение действия HtmlElement id: a9f09c92-7958-4d50-a8ec-ea79c70a689a группы действий id: 85e5c700-6319-49de-b834-a219503ef1b7 Не найден HTML элемент, по условиям поиска"
Running the logical IF-statement action id: <id> action group id: <id> Result: false,21,3,Running the logical IF-statement action id: ec590fa2-2be0-4a4a-9a8b-4de1465b23a4 action group id: b9139e2c-5ae6-4705-b399-05aff354dbdd Result: false | Running the logical IF-statement action id: af78c63f-06dd-40e4-a48a-24df8ce90d75 action group id: d4e09356-cc3d-48e4-866e-544ed818a0dd Result: false
Subproject isLinkLoaded. Parsing the page action id: <id> action group id: <id> subproject path: C:\Users\gaabs\Documents\zennoPoster\refact,21,1,Subproject isLinkLoaded. Parsing the page action id: d107a391-158d-47bf-984a-1ef8db85d216 action group id: 55cae4dc-6845-40c3-9d32-ec742bb31970 subproject path: C:\Users\gaabs\Documents\zennoPoster\refactor\isLinkLoaded. | Subproject isLinkLoaded. Parsing the page action id: d107a391-158d-47bf-984a-1ef8db85d216 action group id: 55cae4dc-6845-40c3-9d32-ec742bb31970 subproject path: C:\Users\gaabs\Documents\zennoPoster\refactor\isLinkLoaded.
Выполнение действия JavaScript OwnCode id: <id> группы действий id: <id> No such variable: mexc_ask_fixed,20,1,Выполнение действия JavaScript OwnCode id: 494751bf-f41d-4043-994d-81daa117cc38 группы действий id: a1712f7d-5d28-4fe6-9c70-6fc13c76a32a No such variable: mexc_ask_fixed | Выполнение действия JavaScript OwnCode id: 494751bf-f41d-4043-994d-81daa117cc38 группы действий id: a1712f7d-5d28-4fe6-9c70-6fc13c76a32a No such variable: mexc_ask_fixed
"Searching text on a page action id: <id>of action group id: <id> 未发现, Url: https://www.paramountplus.com/account/signup/submitpayment, Regex",20,1,"Searching text on a page action id: 06f70fbd-d4d4-4051-9553-f7201b45c0e4of action group id: 2c27f886-6631-474a-a822-47b4c41d188f 未发现, Url: https://www.paramountplus.com/account/signup/submitpayment, Regex: Your\s+payment | Searching text on a page action id: 06f70fbd-d4d4-4051-9553-f7201b45c0e4of action group id: 2c27f886-6631-474a-a822-47b4c41d188f 未发现, Url: https://www.paramountplus.com/account/signup/submitpayment, Regex: Your\s+payment"
Perform the JavaScript OwnCode action id: <id> action group id: <id> Error accessing Document.EvaluateScript | System.Exception: Error acces,19,1,Perform the JavaScript OwnCode action id: 3d052960-d7bb-42b1-bcc0-843ce2fdd445 action group id: 7ad6a4bc-ef69-496e-a9a2-de007852886a Error accessing Document.EvaluateScript | System.Exception: Error accessing Document.Ev | Perform the JavaScript OwnCode action id: 3d052960-d7bb-42b1-bcc0-843ce2fdd445 action group id: 7ad6a4bc-ef69-496e-a9a2-de007852886a Error accessing Document.EvaluateScript | System.Exception: Error accessing Document.Ev
"Выполнение действия Создать профили ZennoBrowser id: <id> группы действий id: <id> Status(StatusCode=""Unauthenticated"", Detail=""Bad gRPC res",19,1,"Выполнение действия Создать профили ZennoBrowser id: 9d7d7dae-a165-4f54-be38-38c4b18fe25b группы действий id: 298b46f3-9be2-4991-b074-d217fd6ef70e Status(StatusCode=""Unauthenticated"", Detail=""Bad gRPC response. HTTP stat | Выполнение действия Создать профили ZennoBrowser id: 9d7d7dae-a165-4f54-be38-38c4b18fe25b группы действий id: 298b46f3-9be2-4991-b074-d217fd6ef70e Status(StatusCode=""Unauthenticated"", Detail=""Bad gRPC response. HTTP stat"
Выполнение действия List id: <id> группы действий id: <id> Ошибка при обработке списка,17,9,Выполнение действия List id: d33d6459-ba5e-402d-a32b-dfa0ce7e880c группы действий id: 4414056c-d29d-4ace-8c9e-3822c61923fc Ошибка при обработке списка | Выполнение действия List id: 174a7448-302a-467e-b978-ac660440612e группы действий id: 6d3b0151-4fa1-4ea9-88cf-137c7ba0f775 Ошибка при обработке списка
Выполнение логического оператора If действия id: <id> группы действий id: <id> Результат,17,7,Выполнение логического оператора If действия id: f5ca1b34-0a23-4e42-948f-1a5497cfe39b группы действий id: fd51daab-9be3-4880-9515-99fb69e85a6c Результат: | Выполнение логического оператора If действия id: 1f48c323-c647-4222-9570-2cc476b54152 группы действий id: 5bb4a024-b66e-4a4d-86a1-804a362a24aa Результат:
Выполнение действия Plugin id: <id> группы действий id: <id> Ошибка при обработке плагина Cap.Guru.26.7_all Ошибка в действии: <id>,17,1,Выполнение действия Plugin id: 7a512ffd-129c-4277-a652-c81942d9b430 группы действий id: 38216dd0-bdf5-4061-b020-1881051ceab3 Ошибка при обработке плагина Cap.Guru.26.7_all Ошибка в действии: 954d4984-c707-4747-9d02-37e93 | Выполнение действия Plugin id: 7a512ffd-129c-4277-a652-c81942d9b430 группы действий id: 38216dd0-bdf5-4061-b020-1881051ceab3 Ошибка при обработке плагина Cap.Guru.26.7_all Ошибка в действии: 954d4984-c707-4747-9d02-37e93
"Выполнение действия Parse Json/Xml id: <id> группы действий id: <id> Error reading JToken from JsonReader. Path '', line 0, position 0. | Sy",16,5,"Выполнение действия Parse Json/Xml id: 4fd17031-aa17-4f32-a477-81ed0a2c7e05 группы действий id: 29bd93cb-4715-4b22-b121-c1e3935055f7 Error reading JToken from JsonReader. Path '', line 0, position 0. | System.Exception:  | Выполнение действия Parse Json/Xml id: 00c24b8c-3910-4bd8-b263-eae8e9f4cf06 группы действий id: 747d09e5-0fde-46b6-a7cb-2a13ca0e2e1e Error reading JToken from JsonReader. Path '', line 0, position 0. | System.Exception: "
Taking line from the table action id: <id> action group id: <id> Line No. does not exist in the table,16,3,Taking line from the table action id: 92be09f8-fd13-4d59-bdcc-47a5d7fc7735 action group id: 39b3c2d8-f1fd-4bae-9922-7db62bbd9715 Line No.  does not exist in the table | Taking line from the table action id: 832aee22-0418-4fda-8a73-e80315b935ca action group id: d795e3bb-d532-4563-a95c-323ab0cc3712 Line No.  does not exist in the table
