theme,users_count,projects_count,typical_actions
Регистрация/аккаунты,606,1125,"Навигация по сайтам, Формы/клики/DOM, Логика/ретраи"
Соцсети,149,231,"Формы/клики/DOM, Логика/ретраи, Навигация по сайтам"
Лидогенерация/арбитраж,140,179,"Формы/клики/DOM, Логика/ретраи, Навигация по сайтам"
Служебная автоматизация,76,428,"Прочие действия, Формы/клики/DOM, Логика/ретраи"
Google Sheets/отчетность,24,33,"Формы/клики/DOM, Логика/ретраи, Таблицы/Google Sheets"
E-commerce/маркетплейсы,13,14,"Навигация по сайтам, Прокси/профили/эмуляция, Формы/клики/DOM"
